"","Fecha","cod_ine","CCAA","Casos","Fallecidos","Hospitalizados","UCI"
"1",2020-01-01,"00","No consta",0,0,0,0
"2",2020-01-01,"01","Andalucía",0,0,3,0
"3",2020-01-01,"02","Aragón",0,0,0,0
"4",2020-01-01,"03","Asturias",0,0,0,0
"5",2020-01-01,"04","Baleares",0,0,0,0
"6",2020-01-01,"05","Canarias",0,0,0,0
"7",2020-01-01,"06","Cantabria",0,0,0,0
"8",2020-01-01,"07","Castilla y León",0,0,0,0
"9",2020-01-01,"08","Castilla La Mancha",0,0,0,0
"10",2020-01-01,"09","Cataluña",0,0,1,0
"11",2020-01-01,"10","C. Valenciana",0,0,2,0
"12",2020-01-01,"11","Extremadura",0,0,0,0
"13",2020-01-01,"12","Galicia",0,0,1,0
"14",2020-01-01,"13","Madrid",0,0,1,0
"15",2020-01-01,"14","Murcia",0,0,0,0
"16",2020-01-01,"15","Navarra",0,0,0,0
"17",2020-01-01,"16","País Vasco",0,0,0,0
"18",2020-01-01,"17","La Rioja",0,0,0,0
"19",2020-01-01,"18","Ceuta",0,0,0,0
"20",2020-01-01,"19","Melilla",0,0,0,0
"21",2020-01-02,"00","No consta",0,0,0,0
"22",2020-01-02,"01","Andalucía",0,0,5,0
"23",2020-01-02,"02","Aragón",0,0,0,0
"24",2020-01-02,"03","Asturias",0,0,0,0
"25",2020-01-02,"04","Baleares",0,0,0,0
"26",2020-01-02,"05","Canarias",0,0,0,0
"27",2020-01-02,"06","Cantabria",0,0,0,0
"28",2020-01-02,"07","Castilla y León",0,0,0,0
"29",2020-01-02,"08","Castilla La Mancha",0,0,0,0
"30",2020-01-02,"09","Cataluña",0,0,54,0
"31",2020-01-02,"10","C. Valenciana",0,0,3,0
"32",2020-01-02,"11","Extremadura",0,0,0,0
"33",2020-01-02,"12","Galicia",0,0,0,0
"34",2020-01-02,"13","Madrid",0,0,4,1
"35",2020-01-02,"14","Murcia",0,0,0,0
"36",2020-01-02,"15","Navarra",0,0,0,0
"37",2020-01-02,"16","País Vasco",0,0,3,0
"38",2020-01-02,"17","La Rioja",0,0,0,0
"39",2020-01-02,"18","Ceuta",0,0,0,0
"40",2020-01-02,"19","Melilla",0,0,0,0
"41",2020-01-03,"00","No consta",0,0,1,0
"42",2020-01-03,"01","Andalucía",0,0,2,0
"43",2020-01-03,"02","Aragón",0,0,0,0
"44",2020-01-03,"03","Asturias",0,0,0,0
"45",2020-01-03,"04","Baleares",0,0,0,0
"46",2020-01-03,"05","Canarias",0,0,0,0
"47",2020-01-03,"06","Cantabria",0,0,0,0
